All Transactions Activity Types

Account Activity for Stocks -0067 from Current Year

Total:,-921.88

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
03/03/26,03/03/26,03/04/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.339,74.68,-100.0,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.37,269.61,-99.76,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.161,617.991,-99.5,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.81,123.38,-99.94,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.793,111.5,-199.92,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.335,297.74,-99.74,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought To Cover,CALL UNH    05/15/26   390.000,UNH,--,1.0,1.45,-145.51,0.51,--,--
03/02/26,03/02/26,03/02/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:14212396395,--,--,,,1000.0,0.0,--,--
03/02/26,03/02/26,02/27/26,Option Expired,CALL NVDA   02/27/26   215.000,NVDA,--,6.0,,0.0,0.0,--,--
02/27/26,02/27/26,02/27/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-333.35,0.0,--,--
02/27/26,02/27/26,02/27/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,333.35,0.0,--,--
02/27/26,02/27/26,02/27/26,Interest Income,MORGAN STANLEY BANK N.A. (Period 02/02-02/28),MSBNK,--,,,0.01,0.0,--,--
02/27/26,02/27/26,02/27/26,Margin Interest,Thru 02/28/26 for 12 days,--,--,,,-1.14,0.0,--,--
02/26/26,02/26/26,02/26/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-229.05,0.0,--,--
02/26/26,02/26/26,02/26/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,229.05,0.0,--,--
02/26/26,02/26/26,02/27/26,Sold Short,PUT  SLV    04/02/26    70.000,SLV,--,-1.0,3.35,334.49,0.51,--,--
02/25/26,02/25/26,02/25/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1117.25,0.0,--,--
02/25/26,02/25/26,02/25/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1117.25,0.0,--,--
02/25/26,02/25/26,02/26/26,Sold,STATE STREET SPDR S&P 500 ETF UNSOLICITED TRADE,SPY,--,-0.331,691.985,229.05,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought To Cover,PUT  IWM    02/27/26   260.000,IWM,--,1.0,1.18,-118.51,0.51,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.055,94.76,-99.97,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.181,84.61,-99.92,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.211,473.36,-99.88,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.256,79.59,-99.97,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.361,276.65,-99.87,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.158,630.35,-99.6,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.807,123.807,-99.91,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.797,111.25,-199.92,0.0,--,--
02/24/26,02/24/26,02/25/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.33,302.12,-99.7,0.0,--,--
